f,alpha001,alpha002,alpha003,alpha004,alpha005
0.100000,0.0588176,0.0950444,0.125086,0.151541,0.175529
0.110000,0.0727149,0.114667,0.148655,0.178109,0.204487
0.120000,0.0892246,0.137354,0.175449,0.207940,0.236677
0.130000,0.108584,0.163237,0.205498,0.240971,0.271959
0.140000,0.130992,0.192374,0.238743,0.277047,0.310097
0.150000,0.156593,0.224742,0.275032,0.315919,0.350761
0.160000,0.185459,0.260223,0.314116,0.357236,0.393529
0.170000,0.217580,0.298599,0.355643,0.400560,0.437899
0.180000,0.252850,0.339552,0.399174,0.445373,0.483304
0.190000,0.291063,0.382667,0.444186,0.491096,0.529134
0.200000,0.331909,0.427445,0.490100,0.537112,0.574760
0.210000,0.374982,0.473320,0.536292,0.582786,0.619558
0.220000,0.419788,0.519677,0.582129,0.627499,0.662936
0.230000,0.465764,0.565880,0.626988,0.670667,0.704358
0.240000,0.512295,0.611295,0.670282,0.711766,0.743363
0.250000,0.558743,0.655321,0.711489,0.750350,0.779580
0.260000,0.604470,0.697409,0.750163,0.786070,0.812740
0.270000,0.648866,0.737086,0.785955,0.818677,0.842675
0.280000,0.691373,0.773970,0.818616,0.848024,0.869319
0.290000,0.731508,0.807779,0.848004,0.874066,0.892701
0.300000,0.768875,0.838335,0.874075,0.896851,0.912931
0.310000,0.803182,0.865566,0.896879,0.916506,0.930186
0.320000,0.834238,0.889492,0.916544,0.933221,0.944696
0.330000,0.861959,0.910218,0.933263,0.947234,0.956726
0.340000,0.886357,0.927921,0.947276,0.958816,0.966556
0.350000,0.907528,0.942827,0.958856,0.968254,0.974476
0.360000,0.925642,0.955201,0.968289,0.975834,0.980766
0.370000,0.940921,0.965329,0.975864,0.981837,0.985690
0.380000,0.953628,0.973500,0.981861,0.986522,0.989490
0.390000,0.964048,0.979999,0.986541,0.990127,0.992380
0.400000,0.972470,0.985095,0.990142,0.992861,0.994548
0.410000,0.979183,0.989034,0.992872,0.994905,0.996150
0.420000,0.984457,0.992036,0.994913,0.996411,0.997317
0.430000,0.988542,0.994291,0.996417,0.997506,0.998155
0.440000,0.991661,0.995961,0.997510,0.998289,0.998748
0.450000,0.994010,0.997179,0.998292,0.998842,0.999162
0.460000,0.995752,0.998056,0.998844,0.999227,0.999446
0.470000,0.997027,0.998678,0.999228,0.999491,0.999639
0.480000,0.997947,0.999113,0.999492,0.999669,0.999768
0.490000,0.998601,0.999413,0.999670,0.999788,0.999853
0.500000,0.999059,0.999617,0.999788,0.999866,0.999908